ConditionEvents,en,uk
Evt1225_Select0_Random0_Seq0_Hint0,"The path twists and turns, and you have no idea if you$STR_2re headed in the right direction. You end up at another fork, though you aren$STR_2t sure if this is the fork you started at or a new one. You could turn back, but one of your crew members claims they$STR_2ve got a gut feeling that there$STR_2s something worthwhile deeper in the cave.","Шлях $STR_2 зви$STR_2вистий, і ви$STR_2 не маєте жодного уявлення, чи рухаєтеся у правильному напрямку. Ви$STR_2 опиняєтесь на іншій розвилці, але не впевнені, чи це та розвилка, з якої ви починали, чи нова. Ви могли б повернути назад, але один з членів вашої команди стверджує, що у нього є відчуття, що глибше в печері є щось вартісне."
Evt1225_Select1,[Take the right path],[Йди правильним шляхом]
Evt1225_Select1_Random0_Seq0_Hint0,"As you fumble along the winding path, you aren$STR_2t exactly sure where you$STR_2re headed. You end up at another fork, though you aren$STR_2t sure if this is the fork you started at or a new one.","Блукаючи зви$STR_2вистим $STR_2 шляхом, ви$STR_2 не знаєте точно, куди прямуєте. Ви опиняєтесь на іншій розвилці, але не знаєте, чи це та розвилка, з якої ви починали, чи нова."
Evt1225_Select2,[Think carefully],[Подумайте добре]
Evt1225_Select2_Hint0,"Using the direction of the wind flow, you manage to figure out a path deeper into the cave.","Використовуючи напрямок вітрового потоку, вам вдасться знайти шлях углиб печери."
Evt1225_Select3,[Leave the cave],[Вийдіть з печери]
EventTitle1226,Cave - 3-Way Fork,Печера - 3-стороння розвилка
EventText1226,In front of you is a 3-way fork. You feel that you're deeper into the cave than you were before.,"Перед вами розвилка з трьома шляхами. Ви відчуваєте, що заглибилися в печеру глибше, ніж були до цього."
Evt1226_Select0,[Take the left path],[Йдіть лівою стежкою]
Evt1226_Select0_Random0_Seq0_Hint0,"The path twists and turns, and you have no idea if you$STR_2re headed in the right direction. You end up at another fork, though you aren$STR_2t sure if this is the fork you started at or a new one. You could turn back, but one of your crew members claims they$STR_2ve got a gut feeling that there$STR_2s something worthwhile deeper in the cave.","Шлях $STR_2 зви$STR_2вистий, і ви$STR_2 не маєте жодного уявлення, чи рухаєтеся у правильному напрямку. Ви$STR_2 опиняєтесь на іншій розвилці, але не впевнені, чи це та розвилка, з якої ви починали, чи нова. Ви могли б повернути назад, але один з членів вашої команди стверджує, що у нього є відчуття, що глибше в печері є щось вартісне."
