Localization,en,uk
Data_SaveFileCompatibility,"Due to compatibility issues with this save file, there may be some mismatched data, but you should still be able to play it normally.","Через проблеми сумісності з цим файлом збереження можуть бути деякі невідповідні дані, але ви все одно зможете відтворити його нормально."
Data_SaveFileWrong,This save file is corrupted or is not compatible with the latest version.,Цей файл збереження пошкоджено або несумісний з останньою версією.
Data_SaveWrong,"Data write error; failed to save game. This may be due to an issue with a mod. For help, send an email to dustland-service@farlightgames.com, or join our Discord server and contact an admin through the Ticket System.","Помилка запису даних; не вдалося зберегти гру. Це може бути через проблему з модом. Щоб отримати допомогу, надішліть електронний лист на адресу dustland-service@farlightgames.com або приєднайтеся до нашого сервера Discord і зв’яжіться з адміністратором через систему квитків."
Deny_BuLe,No,Ні
Deny_No,No,Ні
Deny_SuanLe,Forget it,Забудь
Deny_WoJuJue,I refuse,Я відмовляюся
EventFunc_And, + ,+
EventFunc_ArriveCity,Head to {0},Прямуйте до {0}
EventFunc_ArriveCity_Map,Head to {1} (Map: {0}),Прямуйте до {1} (карта: {0})
EventFunc_ArriveCity_MapId,Head to {1} (Map ID: {0}),Прямуйте до {1} (ідентифікатор карти: {0})
EventFunc_ArriveTarget,Head to task target location,Прямуйте до цільового місця завдання
EventFunc_AttackCityJudge,Crew Attack > {0},Атака екіпажу > {0}
EventFunc_ChangeDuable,Truck Hull {0},Корпус вантажівки {0}
EventFunc_CityComand,Click the {0} button,Натисніть кнопку {0}
EventFunc_ContainsEventHistory0,Trigger the [{0}] event,Ініціювати подію [{0}].
EventFunc_ContainsEventHistory1,Trigger the [{1}] event x{0},Ініціювати подію [{1}] x{0}
EventFunc_ContainsEventHistory2,Trigger the {0} event and choose [{1}],Ініціювати подію {0} та виберіть [{1}]
EventFunc_ContainsEventHistory3,Choose [{2}] in the [{1}] event x{0},Виберіть [{2}] у події [{1}] x{0}
EventFunc_CurrentCity,Be located in {0},Перебувати в {0}
EventFunc_CurrentCity_Map,Be located in {1} (Map: {0}),Перебувати в {1} (карта: {0})
EventFunc_EnterDungeon,You cannot save while in the Ruins. You should save before going in.,"Ви не можете зберігати, перебуваючи в Руїнах. Ви повинні зберегти перед тим, як піти туди."
EventFunc_EnterDungeonCancel,Be right back,Зараз повернуся.
EventFunc_EnterDungeonConfirm,I'm ready,Я готовий.
EventFunc_ExistItem,Requires {0} x{1},Потрібно {0} x {1}
EventFunc_ExistItemByPeople,{0} x{1} per person ({2} total),{0} x {1} на особу (усього {2})
EventFunc_ExistPeople,You must have {0} in your Crew,У вашій команді має бути {0}
EventFunc_GetHurt,{0} was Wounded.,{0} був поранений.
EventFunc_GetHurtDefend,{0} blocked the attack and avoided getting Wounded.,{0} заблокував атаку та уникнув поранення.
EventFunc_GetHurtPlus0,Losing a fellow trucker has made {0} emotional.,Втрата попутника-далекобійника схвилювала {0}.
EventFunc_GetHurtPlus1,Being accidentally Wounded has taught {0} a valuable life lesson.,Випадкове поранення дало {0} цінний життєвий урок.
EventFunc_GetPeople,A trucker has joined.,Приєднався далекобійник.
EventFunc_GetPP,Acquired {0} Clout.,Придбано {0} Вплив.
EventFunc_GetTrait,{0} gained trait: {1}.,{0} отримав рису: {1}.
EventFunc_GetWorkMoney,"After a hard day's work, you each take home a salary of {0} Scrap.",Після важкого робочого дня кожен із вас отримує додому зарплату в розмірі {0} Брухту.
EventFunc_GetWorkMoneyBut,"However, {0} of your Crew members spent the whole time getting drunk and slacking off. They did not receive a salary.","Однак {0} членів вашої команди провели весь час, напиваючись і розслаблюючись. Зарплату не отримували."
EventFunc_HasArchive,Achievement unlocked: {0}.,Розблоковано досягнення: {0}.
EventFunc_HasPoliticalPoint,Clout: {0},Вплив: {0}
EventFunc_HealPeople,{0} was healed.,{0} було зцілено.
EventFunc_IsBankBreak,No record of default.,Немає записів про дефолт.
EventFunc_LosePeople,You lost a trucker: {0}.,Ви втратили водія вантажівки: {0}.
EventFunc_LosePP,Lost {0} Clout.,Втрачено {0} вплив.
EventFunc_MaxPeople,Your Crew is full.,Ваша команда повна.
EventFunc_NextWeather,In {0}h: {1},Через {0} год: {1}
EventFunc_NoWorker,There's nobody left to recruit.,Вже нема кого вербувати.
EventFunc_PeopleCountLessThan,Crew members < {0},Члени екіпажу < {0}
EventFunc_PeopleCountMoreThan,Crew members > {0},Члени команди > {0}
EventFunc_RadioGlitch0,*static*,*статичний*
EventFunc_RadioGlitch1,*crackle*,*тріск*
EventFunc_RecycleRoadMat,You recovered some road building materials: {0}.,Ви відновили деякі матеріали для будівництва доріг: {0}.
EventFunc_RingBell,*HOOOOOONK*,*ВМУУУУУУУУМ*
EventFunc_SellItem,You sold {0} and gained {1} Scrap.,Ви продали {0} і отримали {1} Брухту.
EventFunc_SpendTime,Time passed: {0},Пройшов час: {0}
EventFunc_TeamHasStatus,{0} trait required,Потрібна ознака {0}
EventFunc_TeamStatusLessThan,Crew {0} < {1},Екіпаж {0} < {1}
EventFunc_TeamStatusMoreThan,Crew {0} > {1},Екіпаж {0} > {1}
EventFunc_TryLikeCity0,a cozy hotel,затишний готель
EventFunc_TryLikeCity1,their rotten luck,їхня погана доля
EventFunc_WeatherLightRain,Light rain. Could get heavier.,Дрібний дощ. Може стати важчим.
EventFunc_WeatherOvercast,Cloudy. Might start to rain.,Хмарно. Може початися дощ.
EventFunc_WeatherRainstorm,Heavy rain. Stay dry out there.,Сильний дощ. Залишайтеся там сухими.
EventFunc_WeatherSandStorm,Dust storm. Protect your engine.,Пилова буря. Захистіть свій двигун.
EventFunc_WeatherSnow,Snow. Watch your engine temperature.,сніг Слідкуйте за температурою двигуна.
EventFunc_WeatherSun,Sunny. Don't get sunburnt.,Сонячно. Не обгоряй на сонці.
EventFunc_WeatherUnknown,*static*,*статичний*
EventFunc_WorkTooMuch,overworking,перевтома
GameInputManager_LoadFastDialog,Quickload?,Швидке завантаження?
GameInputManager_SaveFastHint,"Quicksaving, do not quit the game.","Швидке збереження, не виходьте з гри."
GameTimer_Duration,{0}{1}{2},{0}{1}{2}
GameTimer_Duration_Day,{0}d ,{0}д
GameTimer_Duration_Hour,{0}h ,{0}г
GameTimer_Duration_Minute,{0}m ,{0}м
GameTimer_Duration_RightNow,Instant,Миттєво
GameTimer_Moment,"Day {0}, {1:00}:{2:00}","День {0}, {1:00}:{2:00}"
GetItem,Acquired {0},Отримано {0}
ItemManager_Average,<color=#FFFFFF>[Normal] {0}</color>,<color=#FFFFFF>[Звичайний] {0}</color>
ItemManager_Food,Hunger relief: {0} Stress relief: {1},Послаблення голоду: {0} Зняття Стресу: {1}
ItemManager_Great,<color=#4AF1FF>[Advanced] {0}</color>,<color=#4AF1FF>[Просунутий] {0}</color>
ItemManager_Legend,<color=#FF4ADF>[Legendary] {0}</color>,<color=#FF4ADF>[Легендарний] {0}</color>
ItemManager_Rarity1,(<color=#4AF1FF>Advanced</color>),(<color=#4AF1FF>Просунутий</color>)
ItemManager_Rarity2,(<color=#FF4ADF>Legendary</color>),(<color=#FF4ADF>Легендарний</color>)
ItemManager_UnknownFood,\nHunger relief: {0} Stress relief: {1}\nMay have unknown effects.,\nПослаблення голоду: {0} Зняття Стресу: {1}\nМоже мати невідомі ефекти.
