LocalizedMap,en,uk
CityName_99_26,Bluecotton Farm,Ферма Блукоттон
CityName_99_27,Greenmount Farm,Ферма Грінмаунт
CityName_99_28,Pond Rise Farm,Ферма Pond Rise
CityName_99_29,Maple View Farm,"Ферма ""Мейпл В'ю"
CityName_99_30,Tephra Farm,Ферма Тефра
CityName_99_31,Piper's Farm,Ферма Пайпер
CityName_99_32,Cotton Cloud Farm,Бавовняна хмарна ферма
CityName_99_33,Bluewater Farm,Bluewater Farm
CityName_99_34,Lotus Pond Station,Станція Лотосовий ставок
CityName_99_35,Glassmount Factory,"Склозавод ""Глассмаунт"
CityName_99_36,Berylwood Factory,"Фабрика ""Берилвуд"
CityName_99_37,Saltlight Factory,Фабрика соляного світла
CityName_99_38,Mudpaw Woods Kiln,Лісова піч Mudpaw
CityName_99_39,Bluethread Mountains Station,Станція Bluethread Mountains
CityName_99_40,FlaVolcano Seasonings Factory,Фабрика приправ FlaVolcano
CityName_99_41,Sandtide River Factory,"Річкова фабрика ""Сендтайд"
CityName_99_42,Mount All Souls Station,"Станція ""Гора Всіх Душ"
CityName_99_43,Greenland Tire Factory,Гренландський шинний завод
CityName_99_44,RealTough Building Materials Factory,Завод будівельних матеріалів RealTough
CityName_99_45,Novaqua Factory,Завод Novaqua
CityName_99_46,Saltwind Desert Station,Пустельна станція Saltwind Desert Station
CityName_99_47,Tanner Factory,Шкіряна фабрика
CityName_99_48,Shiver City,Місто тремтіння
CityName_99_49,Duskville,Дасквіль
CityName_99_50,Elegy Woods Station,Станція Elegy Woods
CityName_99_51,Spring's Landing,Весняний десант
CityName_99_52,Duckweed,Ряска
CityName_99_53,Frostfall,Заморозки
CityName_99_54,Fisherman's Rest,Відпочинок рибалки
CityName_99_55,Peninsula Town,Місто на півострові
CityName_99_56,Glowleaf,Glowleaf
CityName_99_57,Cockscomb,Півнячий гребінь
CityName_99_58,Gemstone,Коштовний камінь
CityName_99_59,Unity,Єдність
CityName_99_60,Aromantica,Aromantica
CityName_99_61,Comet's Tail Gas Station,"Заправка ""Хвіст комети"
CityName_99_62,Big Boot Gas Station,Заправка Big Boot
CityName_99_63,Cirrus Gas Station,"АЗС ""Циррус"
CityName_99_64,Dusty Trail Gas Station,"АЗС ""Пильна стежка"
CityName_99_65,Even Flow Gas Station,АЗС з рівномірним потоком
CityName_99_66,Plain Sailing Gas Station,Заправка Plain Sailing
CityName_99_67,Lotus Leaf Gas Station,Заправка Lotus Leaf
CityName_99_68,Bamboo Shoot Gas Station,Заправка Bamboo Shoot
CityName_99_69,Mudman Gas Station,"АЗС ""Мадмен"
CityName_99_70,Breaker Mountains Gas Station,Заправка Breaker Mountains
CityName_99_71,Swamp Gas Station,"Заправка ""Болото"
CityName_99_72,Big Bird Gas Station,Заправка Big Bird
CityName_99_73,Big Spender Gas Station,"Заправка ""Великий марнотрат"
CityName_99_74,Silverpeak City,Сілверпік Сіті
CityName_99_75,Meon,Меон.
CityName_99_76,Lastlight,Останнє світло
CityName_99_77,Ataraxia,Атараксія
CityName_99_78,Rustburg,Рустбург
CityName_99_79,Lion's Paw Military Depot,"Військовий склад ""Левова лапа"
CityName_99_80,Philosophia,Філософія
CityName_99_81,Frostbite Industrial Complex,"Промисловий комплекс ""Обмороження"
CityName_99_82,True North Industrial Complex,"Промисловий комплекс ""Справжня Північ"
CityName_99_83,Food-Stuf Industrial Complex,Харчова промисловість
CityName_99_84,Kof-E Industrial Complex,Промисловий комплекс Kof-E
CityName_99_85,Gemstown Industrial Complex,"Промисловий комплекс ""Гемстаун"
CityName_99_86,Hell4Leather Industrial Complex,Промисловий комплекс Hell4Leather
CityName_99_87,Titanium Military Depot,Титановий військовий склад
CityName_99_88,Shortbank Lake Military Depot,Військовий склад на озері Шортбейк Лейк
CityName_99_89,Ironheart Military Depot,"Військовий склад ""Залізне серце"
CityName_99_90,Plum Pond Military Depot,Військовий склад Plum Pond
CityName_99_91,Winterhold Farm,Ферма Вінтерхолд
CityName_99_92,Gusto Farm,Gusto Farm
CityName_99_93,Rat-Tail Farm,Щурохвоста ферма
CityName_99_94,Aspire Farm,Aspire Farm
CityName_99_95,Delicacy Farm,Ферма делікатесів
CityName_99_96,Rothrock Farm,Ферма Ротрок
CityName_99_97,Duskrush Mountains Fuel Depot,Паливний склад у горах Дускруш
CityName_99_98,Creeping Vines Fuel Depot,"Паливний склад ""Повзучі лози"
CityName_99_99,Weeping Willow Fuel Depot,"Паливний склад ""Плакуча верба"
CityName_99_100,Red Lotus Fuel Depot,"Паливний склад ""Червоний лотос"
CityName_99_101,Magnet Fuel Depot,"Паливний склад ""Магніт"
CityName_99_102,Rufidorsa Fuel Depot,Паливний склад в Руфідорсі
CityName_99_103,Foothills Industrial Complex,"Індустріальний комплекс ""Передгір'я"
CityName_99_104,Gill Gorge Gas Station,АЗС Gill Gorge
CityName_99_105,Snowbound Landfill,Засипане снігом сміттєзвалище
CityName_99_106,Gator Head Gas Station,Заправка Gator Head
CityName_99_107,Providence Pharmaceuticals,Providence Pharmaceuticals
CityName_99_108,Wintergale Military Base,Військова база Вінтергейл
CityName_99_109,Brimstone Farm,Ферма Бримстоун
CityName_99_110,Nostrum,Nostrum
CityName_99_111,Punica Farm,Ферма Пуніка
CityName_99_112,Glacier Distillery,"Горілчаний завод ""Льодовик"
CityName_99_113,Convector Fuel Depot,Конвекторний паливний склад
CityName_99_114,#3 Rubber Factory,#Гумовий завод №3
CityName_99_115,Redsmear River Gas Station,Заправка на річці Редсмір
CityName_99_116,Rivershoal Gas Station,Заправка Rivershoal
CityName_99_117,Murkmire,Меркмайр.
CityName_99_118,Silverton,Сілвертон
CityName_99_119,Valleygate,Веллігейт.
CityName_99_120,Brewersville,Брюерсвілль
CityName_99_121,Eggshell Gas Station,"Заправка ""Яєчна шкаралупа"
CityName_99_122,Icebound Landfill,Скріплений льодом полігон твердих побутових відходів
CityName_99_123,Snowsteep Landfill,"Сміттєзвалище ""Сніжна круча"
CityName_99_124,Beaten Path Landfill,"Сміттєзвалище ""Битий шлях"
CityName_99_126,El Yerto Landfill,Сміттєзвалище Ель-Ерто
CityName_99_127,Morass Landfill,Мораський полігон твердих побутових відходів
CityName_99_128,Mudhole Landfill,Карстовий полігон твердих побутових відходів
CityName_99_129,Waste-Not Landfill,"Не сміттєзвалище, а не полігон"
CityName_99_130,Hideaway Landfill,"Сміттєзвалище ""Схованка"
CityName_99_131,Nothin' Special Landfill,Нічого особливого звалище
CityName_99_132,La Collina Landfill,Сміттєзвалище Ла Колліна
CityName_99_133,Gully Landfill,"Сміттєзвалище ""Балка"
CityName_99_134,Muddy Mire Landfill,"Полігон ТПВ ""Брудне болото"
CityName_99_135,Windchill Landfill,Сміттєзвалище Windchill
CityName_99_136,Mountainside Landfill,Гірське сміттєзвалище
CityName_99_137,Bubble-Up Landfill,Бульбашкове сміттєзвалище
CityName_99_138,Unremarkable Landfill,Нічим не примітне сміттєзвалище
CityName_99_139,Quickfall Landfill,"Полігон ТПВ ""Квікфол"
CityName_99_140,Muddy Middle Landfill,Мулисте середнє сміттєзвалище
CityName_99_141,Overhill Landfill,Нагорний полігон твердих побутових відходів
CityName_99_142,Rotsburg Landfill,Полігон ТПВ у Ротсбурзі
CityName_99_143,Overlooked Landfill,Невідоме сміттєзвалище
CityName_99_144,Deepbury Landfill,Сміттєзвалище Діпбері
CityName_99_145,Big Tree Landfill,"Сміттєзвалище ""Велике дерево"
CityName_99_146,Big Whiff Landfill,Сміттєзвалище Big Whiff
CityName_99_147,Shrubby Patch Landfill,Сміттєзвалище Shrubby Patch
CityName_99_148,Windy Moor Landfill,"Полігон ТПВ ""Вітряне болото"
CityName_99_149,Washaway Landfill,Сміттєзвалище Washaway
CityName_99_150,Horsefly Landfill,Звалище коників
CityName_99_151,Cobblestone Landfill,Сміттєзвалище з бруківки
CityName_99_152,El Tufo Landfill,Сміттєзвалище Ель Туфо
CityName_99_153,Mudslide Landfill,Полігон для захоронення селевих потоків
CityName_99_154,Wintry Winds Landfill,"Полігон ""Вітряні вітри"
CityName_99_155,Wildmount Landfill,Сміттєзвалище Уайлдмаунт
CityName_99_156,Selkie Farm,Ферма Селкі
CityName_99_157,Rising Damp Landfill,Зростаюче вологе сміттєзвалище
CityName_99_158,Highsummer Flour Factory,Високогірський борошномельний завод
CityName_99_159,Big Broiler Landfill,Звалище великих бройлерів
CityName_99_160,Slagheap Landfill,Шлакоотвал
CityName_99_161,Off-Track Landfill,Позаштатний полігон твердих побутових відходів
CityName_99_162,Big Ravine Landfill,"Полігон ТПВ ""Великий яр"
CityName_99_163,Scrubdown Landfill,"Сміттєзвалище ""Скребковий"
CityName_99_164,Skeeter's Meet Landfill,Зустріч зі сміттєзвалищем Skeeter's Meet
CityName_99_165,Foul Air Landfill,Полігон для захоронення нечистот
CityName_99_166,Between-the-Reeds Landfill,"Сміттєзвалище ""Міжряддя"
CityName_99_167,Windscatter Landfill,Звалище вітрового розсіювання
CityName_99_168,Soilcrust Landfill,Звалище ґрунтової кірки
CityName_99_169,Forrester,Форрестер
CityName_99_170,Blunderbuss,Брандспойт.
CityName_99_171,Dawngrad Farm,Ферма Доунград
CityName_99_172,Deepwoods Landfill,Сміттєзвалище Діпвудс
CityName_99_173,Treefellow,Дроворуб.
CityName_99_174,Dirtpile Landfill,Полігон ТПВ
CityName_99_175,Honeydew Farm,"Ферма ""Медова роса"
CityName_99_176,Dewbead Gas Station,"АЗС ""Росинка"
CityName_99_177,Whiskerville,Віскервіль
CityName_99_178,Crystalia,Кристалія
CityName_99_179,HoneySpring Sugar Factory,"Цукровий завод ""Медвежатина"
CityName_99_180,Friendo Farmö,Френдо Фармо
CityName_99_181,Mudpaw Farm,Ферма Mudpaw
CityName_99_182,Misty Farm,Туманна ферма
CityName_99_183,Sakura Lake Materials Factory,Фабрика матеріалів озера Сакура
CityName_99_184,Sweetback Farm,Ферма солодкоголосого
CityName_99_185,Cattywampus Landfill,Сміттєзвалище Кеттівампус
CityName_99_186,Deep Valley Farm,"Ферма ""Глибока долина"
CityName_99_187,Wormwood Gas Station,"АЗС ""Полин"
CityName_99_188,Far Wilds Farm,Far Wilds Farm
CityName_99_189,FullCycle Water Purifier Factory,Завод по очищенню води повного циклу
CityName_99_190,Dragonfly Farm,Ферма бабок
CityName_99_191,Jade Gorge Farm,"Ферма ""Нефритова ущелина"
CityName_99_192,Milkway Farm,"Ферма ""Мілквей"
CityName_99_193,Skeeterville,Скітервіль
CityName_99_194,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (філія Mount Catridge)
CityName_99_195,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (філія Mount Catridge)
CityName_99_196,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (філія Mount Catridge)
CityName_99_197,Dustland Mutual (Mount Catridge Branch),Dustland Mutual (філія Mount Catridge)
